maker,name,price
富士通 FUJITSU,FMVF77F3B [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Core i7-1165G7/メモリ 8GB/SSD 256GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥214,780"
レノボ･ジャパン Lenovo,F0FY0025JP [IdeaCentre AIO360/27型/AMD Ryzen 7 5700U プロセッサー/メモリ16GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ホワイト],"￥155,100"
マウスコンピューター mouse computer,PCMIDV117G165P22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 1TB/HDD 2TB/GTX 1650/Windows 11 Pro/ブラック],"￥249,800"
ミニズフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥21,780"
HP,52P36PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥99,000"
ミニズフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥31,270"
Acer エイサー,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥99,800"
マウスコンピューター mouse computer,PCMI117P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥184,800"
HP,52M17PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥110,000"
HP,52P36PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥120,880"
NEC エヌイーシー,PC-A2377DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥274,780"
マウスコンピューター mouse computer,PCMI117P21J [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit],"￥154,800"
ASUS エイスース,PN41-S1-BC306AD [デスクトップミニパソコン ASUS Mini PC PN41-S1/Celeron N5100/メモリ 4GB/eMMC 64GB/Windows 11 pro/ブラック],"￥46,800"
ASUS エイスース,PB62-B7275AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i7-11700/メモリ 16GB/SSD 512GB/Windows 11 home/ブラック],"￥139,800"
NEC エヌイーシー,PC-A2365DAB [デスクトップパソコン 23.8型/Ryzen 7 5700U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥230,780"
ミニズフォーラム MINISFORUM,HM90-16/512-W10Pro（4900H） [小型デスクトップパソコン Ryzen 9 4900H/メモリ 16GB/SSD 512GB/Windows 10 Pro],"￥96,680"
マウスコンピューター mouse computer,PCMI114P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei5-11400/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 730/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥154,800"
NEC エヌイーシー,PC-A2335DAB [デスクトップパソコン 23.8型/Ryzen 3 5300U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥203,280"
HP,52M17PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 3 5300G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥88,000"
ASUS エイスース,VC66-C2B7205AN [デスクトップミニパソコン ASUS Mini PC VC66-C2/Core i7-10700/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥159,800"
ミニズフォーラム MINISFORUM,TL50-16/512-W10Pro（1135G7） [超小型デスクトップパソコン/Intel Core i5-1135G7/メモリ 16GB/SSD 512GB/Windows 10 Pro搭載],"￥87,780"
ASUS エイスース,G15DK-R75R3070W11 [ROG Strix GA15 (G15DK) ゲーミングデスクトップパソコン/Ryzen 7 5800X/メモリ 16GB/SSD 512GB/RTX3070/Windows 11 Home/ブラック],"￥269,800"
ASUS エイスース,A5401WR-R75700LU [ASUS Zen AiO 23.8型/Ryzen7 5700U/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home and Business 2021/ホワイト],"￥169,800"
ASUS エイスース,PB62-B3273AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i3-10105/メモリ 8GB/SSD 256GB/Windows 11 home/ブラック],"￥88,800"
ASUS エイスース,CHROMEBOX4-GC018UN [Chromebox デスクトップPC Celeron 5205U/メモリ 4GB/eMMC 64GB /Wi-Fi 6/Vesa Mount/Chrome OS],"￥48,790"
レノボ･ジャパン Lenovo,F0FY0024JP [IdeaCentre AIO360/27型/AMD Ryzen 7 5700U プロセッサー/メモリ16GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥151,800"
【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [富士通 FUJITSU FMVF70F3BC デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/ブラック＋ウイルスバスター クラウド 3年版],【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [富士通 FUJITSU FMVF70F3BC デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/ブラック＋ウイルスバスター クラウド 3年版],"￥232,210"
MSI エムエスアイ,AEGIS-TI5-12VTE-046JP [ゲーミングデスクトップパソコン/Core i7-12700K/RTX 3070Ti/メモリ 32GB/SSD 1TB＋HDD 1TB/Windows 11 Pro],"￥427,270"
マウスコンピューター mouse computer,PCMI117G306H22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 512GB/HDD 2TB/RTX 3060/Windows 11 Home/ブラック],"￥264,800"
NEC エヌイーシー,PC-A2377CAB [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 1TB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥210,880"
ミニズフォーラム MINISFORUM,UM700L-8/256-W10Pro（3750H） [超小型デスクトップパソコン/CPU：AMD Ryzen7 3750H/メモリ：8GB/SSD：256GB/OS：Windows 10 Pro搭載],"￥68,970"
ASUS エイスース,PB62-B5274AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i5-11400/メモリ 8GB/SSD 256GB/Windows 11 home/ブラック],"￥96,800"
マウスコンピューター mouse computer,PCMIDV119KT100P22C [デスクトップパソコン Core i9-11900K/メモリ 32GB/SSD 1TB/HDD 4TB/NVIDIA T1000/Windows 11 Pro（DSP）/ブラック],"￥334,800"
ASUS エイスース,CHROMEBOX4-G7021UN [Chromebox デスクトップPC i7-10510U/メモリ 16GB/SSD 256GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥102,950"
ガレリア GALLERIA,RA516S-1500-R21 [ゲーミングデスクトップパソコン ガレリア RA516S-1500 12400/Core i5-12400/GTX 1660 SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥189,800"
ASUS エイスース,PB60G-B5372AD [デスクトップミニパソコン/Core i5-9400T/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home ブラック],"￥110,010"
MSI エムエスアイ,MODERN-AM242TP-11M-1260JP [オールインワンパソコン Core i5-1135G7/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021],"￥192,200"
アイ･オー･データ機器 I-O DATA,MPC-64WE1 [小型デスクトップパソコン Intel Celeron Processor N335/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise 2019],"￥60,280"
MSI エムエスアイ,P100X-12VTG-1094JP [デスクトップパソコン/Core i7-12700K/メモリ 32GB/SSD 1TB＋HDD 2TB/Windows 11 Pro],"￥340,000"
マウスコンピューター mouse computer,PCMI114G306H22C [デスクトップパソコン Core i5-11400/メモリ 16GB/SSD 512GB/HDD 1TB/RTX 3060/Windows 11 Home/ブラック],"￥229,800"
レノボ･ジャパン Lenovo,F0G10047JP [IdeaCentre AIO360/23.8型/AMD Ryzen 3 5300U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥123,190"
MSI エムエスアイ,TRIDENT-X-12VTD-051JP [ゲーミングデスクトップパソコン/Core i7-12700K/メモリ 32GB/SSD 1TB＋HDD 1TB/Windows 11 Pro],"￥350,000"
ミニズフォーラム MINISFORUM,UM320-8/256-W10Pro（3200U） [小型デスクトップパソコン Ryzen 3 3200U/メモリ 8GB/ストレージ 256GB/Windows 10 Pro],"￥46,780"
ASUS エイスース,CHROMEBOX4-G3019UN [Chromebox デスクトップPC Core i3-10110U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥76,800"
ミニズフォーラム MINISFORUM,UM350-8/512-W10Pro（3550H） [小型デスクトップパソコン/Ryzen 5 3550H/メモリ 8GB/SSD 512GB/Windows 10 Pro/シルバー],"￥58,180"
CHUWI,HeroBox-8/256-W10(J4125) [小型デスクトップパソコン/Celeron Processor J4125/メモリ 8GB/SSD 256GB/Windows 10 Home/ブラック],"￥30,580"
ミニズフォーラム MINISFORUM,X500-16/512-W10Pro（5700G） [小型デスクトップパソコン/AMD Ryzen 7 5700G/メモリ 16GB/ストレージ M.2 2280 SSD NVMe 512GB/Windows 10 Pro 64bit/ブラック],"￥112,990"
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥31,090"
アイ･オー･データ機器 I-O DATA,MPC-LVZ2 [小型デスクトップパソコン/Intel Pentium Silver N5030/メモリー4GB/eMMC 64GB/Windows 10 IoT Enterprise搭載],"￥62,480"
ASUS エイスース,G15DK-R75G1660TW11 [ゲーミングデスクトップパソコン ROG Strix GA15 （G15DK）/Ryzen 7 5800X/GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥199,800"
レノボ･ジャパン Lenovo,F0G10046JP [IdeaCentre AIO360/23.8型/AMD Ryzen 7 5700U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥140,800"
ASUS エイスース,CHROMEBOX4-G5020UN [Chromebox デスクトップPC Core i5-10210U/メモリ 8GB/SSD 128GB/Wi-Fi 6/Vesa Mount/Chrome OS],"￥85,800"
マウスコンピューター mouse computer,PCMIDV117G306P22C [デスクトップパソコン Core i7-11700/メモリ 16GB/SSD 1TB/HDD 2TB/RTX 3060/Windows 11 Pro/ブラック],"￥289,800"
【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HX90-32/512-W10Pro（5900HX） 小型デスクトップパソコン/AMD Ryzen 9 5900HX/メモリ 32GB/ストレージ M.2 2280 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HX90-32/512-W10Pro（5900HX） 小型デスクトップパソコン/AMD Ryzen 9 5900HX/メモリ 32GB/ストレージ M.2 2280 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥135,400"
アイ･オー･データ機器 I-O DATA,MPC-LVQ2 [Intel(R)Celeron(R)N4120/4GB/64GB(eMMC)/Windows 10 IoT Enterprise搭載 miniPC],"￥60,280"
マウスコンピューター mouse computer,PCMI117G307H21J [ゲーミングデスクトップパソコン/Corei7-11700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥299,800"
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥33,110"
ECS イーシーエス,LIVAZ3P-4/128-W10Pro（i3-10110U） [LIVA Z3 Plus / メモリ4GB / SSD128GB / Core i3-10110U / Windows 10 Pro],"￥88,670"
【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HM50-16/512-W10Pro（4500U） 小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM HM50-16/512-W10Pro（4500U） 小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB＋ウイルスバスター クラウド 3年版],"￥92,710"
【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],"￥34,190"
レノボ･ジャパン Lenovo,F0E50030JP [一体型デスクトップ Yoga A940 core i7-9700 27型 メモリー16GB HDD 2TB 、Optaneメモリー16GB Windows 10 Pro 64bit 日本語版 Microsoft Office Home&Business2019 アイアングレー],"￥302,500"
ECS イーシーエス,LIVAZ-4/64-W10Pro(N3350) [Windows 10 Pro搭載 小型デスクトップパソコン メモリ4GB/ストレージ64GBモデル],"￥32,000"
ミニズフォーラム MINISFORUM,HM80-16/512-W10Pro（4800U） [小型デスクトップパソコン/CPU：AMD Ryzen 7 4800U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/OS：Windows 10 Pro 64bit],"￥109,780"
アイ･オー･データ機器 I-O DATA,MPC-LVZ3P [CPU N3350Intel Core i3-10110U/メモリー 8GB/ストレージ 256GB/OS Windows10 IoT Enterprise 2019],"￥98,780"
ECS イーシーエス,LIVAZ-4/64-W10Pro(N4200) [Windows 10 Pro搭載 ファンレス仕様 小型デスクトップパソコン],"￥37,560"
ECS イーシーエス,LIVAZ-8/256-W10Pro（N4200） [Windows 10 Pro搭載 小型デスクトップパソコン],"￥50,700"
ASUS エイスース,VC66-C2B5204AN [デスクトップミニパソコン ASUS Mini PC VC66-C2/Core i5-10400/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥114,800"
