id,title,price_notax,price_taxin,kcal,protein,salt,url,price_info,item_info
46757,手巻おにぎり　炭火焼熟成紅しゃけ,150,162.0,175.0,4.8,0.92,https://www.sej.co.jp/products/a/item/046757/,150円（税込162円）,熱量：175kcal、たんぱく質：4.8g、脂質：1.8g、炭水化物：36.0g（糖質：34.1g、食物繊維：1.9g）、食塩相当量：0.92g
46754,味付のり熟成焼鮭,135,145.8,169.0,4.7,0.99,https://www.sej.co.jp/products/a/item/046754/,135円（税込145.80円）,熱量：169kcal、たんぱく質：4.7g、脂質：1.1g、炭水化物：35.9g（糖質：34.2g、食物繊維：1.7g）、食塩相当量：0.99g
46794,手巻おにぎり　ツナマヨネーズ,125,135.0,258.0,5.1,1.2,https://www.sej.co.jp/products/a/item/046794/,125円（税込135円）,熱量：258kcal、たんぱく質：5.1g、脂質：10.6g、炭水化物：36.6g（糖質：34.6g、食物繊維：2.0g）、食塩相当量：1.2g
46724,味付のり　ツナマヨネーズ,125,135.0,260.0,5.1,1.2,https://www.sej.co.jp/products/a/item/046724/,125円（税込135円）,熱量：260kcal、たんぱく質：5.1g、脂質：10.7g、炭水化物：36.7g（糖質：34.9g、食物繊維：1.8g）、食塩相当量：1.2g
